label,headline
1,"""Rail Baltica"" izvēlas ievērojami dārgākas sliedes nekā tirgū pieejamās, vēsta raidījums"
0,"""Reāls scenārijs"" un ""sarkanās līnijas"" – partijas vērtē jaunas valdības veidošanu"
0,"""Rimi"" Rīgas maratona laikā būs plašas izmaiņas sabiedriskā transporta kustībā"
2,"""Runāt vai karot"". Šodien izšķiroša diena valdības koalīcijai"
2,"""Rīgai ir svarīgi visi cilvēki!"" Aizvadīts praida gājiens ""Ceļš uz brīvību"""
0,"""Rīgas nami"" meklē alternatīvas Centrāltirgus Gaļas paviljona tirgotājiem"
0,"""Rīgas nami"" meklē risinājumus Centrāltirgus Gaļas paviljona tirgotājiem"
0,"""Rīgas siltumam"" vajadzīgs viens saimnieks"
0,"""Rīgas siltums"" no oktobra katru mēnesi varētu noteikt maksimālo siltumenerģijas iepirkuma cenu"
0,"""Rīkojums Nr.2"" – ko pēc pirmizrādes saka Zatlers, Āboltiņa, Lembergs un citi"
0,"""Rīkošana ir neloģiska"": Armēnijas premjerministrs noraida Putina prasību par referendumu"
0,"""Rūp tikai klusums Sarkanajā laukumā"". Ukraina sola atbildēt Krievijas pamiera pārkāpumiem"
0,"""Skatīsimies, kā pūtīs."" Kopā ar aktīvās atpūtas entuziasti iemēģinām jaunas takas"
0,"""Skrejošā rindiņa"" un ēšanas traucējumi 40 gados: psihiatre Kristīna Buta iezīmē mūsdienu trauksmes sejas"
0,"""Spried ar Delfi"" par Ukrainas iestāšanās sarunām Eiropas Savienībā. Pilns ieraksts"
2,"""Stabilitātei!"" valdē ieceltas jaunas amatpersonas"
0,"""Stipro skrējiens"" sestdien pulcējis vairāk nekā 3500 dalībnieku un līdzjutēju"
2,"""Svešie"" šeit neparkojas! Daudzdzīvokļu mājas Rīgā ""noslēdz"" savus pagalmus"
0,"""Tas bija ļoti aizņemts laiks"" – ministri pēdējā valdības sēdē saka paldies Siliņai"
0,"""Tas nav galīgais dokuments"" – Ogre nerunīga par iespējamo izšķērdību"
0,"""Tas parasti notiek pirmdienās. Un tā nebija pirmā reize."" NMPD par ""korķiem"" Stradiņos"
0,"""Tiekamies Latvijas politikā"" – Arigo Toro paziņo par atgriešanos"
2,"""Tik stulbi, ka nesaprot?"" – ministri iekarst debatēs par ""Rail Baltica"" pārmiju iepirkumu"
2,"""TikTok"" gaišreģe Liepājā sievietei izkrāpj gandrīz 2000 eiro"
0,"""Toyota"" Rīgas velomaratona laikā būs izmaiņas sabiedriskā transporta kustībā"
0,"""Toyota"" Rīgas velomaratona laikā gaidāmi satiksmes ierobežojumi"
1,"""Trīs nedēļās, ko Orbāns nespēja trīs gados"". Maģars panāk vienošanos par ES iesaldētajiem fondiem"
1,"""VW Golf"" apdzen tā, ka pats pēc tam piestāj pārdomāt notikušo"
0,"""Valdība lēma vienbalsīgi"" – Siliņa komentē revīziju par ""Latvijas Valsts mežiem"""
1,"""Vectēvu kults"" pavēršas pret Putinu, ""spēcīgā līdera"" tēls pirms 9. maija sāk izgaist, novēro analītiķi"
1,"""Vienotības"" strīds ar ""SOAAR"" līdzīpašnieku Kadžuli nonāk finiša taisnē"
1,"""Virzīsimies uz visu sliežu nomaiņu,"" saka Švinka. Kad tas notiks un cik maksās?"
0,"""Viss izrādījās lieliski."" Tramps lepojas ar izieto veselības pārbaudi"
0,"""Viņš to sauca par dziedināšanu."" Sievietes atklāj pusaudžu gados pieredzēto ar mācītāju Eimani"
1,"""Vācija to nevar pieļaut vēstures dēļ"": Berlīne apsveic Lietuvu ar ""Nemunas rītausmas"" izslēgšanu no koalīcijas"
1,"""Vājuma parādīšana izaicina agresiju"", par Eiropas aizsardzības stiprināšanu saka Kallasa"
1,"""Ziņa no Putina"". Zelenskis ticies ar Krievijas oligarhu Abramoviču"
1,"""Šiem noziegumiem bija raksturīga ārkārtēja nežēlība"": ziņojumā atklāj ""Hamās"" seksuālās vardarbības apmēru"
2,"""Šis patiesi ir šokējoši."" Vai CSDD eksāmenus drīkst kārtot krievu valodā"
0,"""Škoda Vagonka"" pie bateriju vilcienu ražošanas Latvijai ķersies nākamā gada pavasarī"
1,"""Šobrīd radinieki mēdz atteikties no savējiem."" Bērnu ""Krīzes centra"" vadītāja"
1,11 reizes nedēļas laikā: ziņo par NATO iznīcinātāju darbu Baltijas valstīs
0,1350 pamatskolēnu pārtraukto latviešu valodas eksāmenu kārtos papildtermiņā
0,"15. Saeimā augs no Rīgas ievēlēto deputātu skaits, samazināsies no Latgales un Kurzemes"
1,"1500 dronu uzbrukums Ukrainai bija pieskaņots Trampa vizītei Pekinā, skaidro pulkvedis"
0,1700 cilvēkiem kruīzs beidzies – norovīrusa dēļ kuģi izolē Bordo ostā
0,2027. gada budžetā ministrijām būs fundamentāli jāpārskata 25% izdevumu
1,"22 valstis, tostarp Baltijas, brīdina Irānu izbeigt uzbrukumus ""mūsu teritorijā"""
1,28. valsts līdz 2028. gadam? Melnkalne apņēmusies kļūt par jaunāko ES dalībnieci
0,3. trolejbuss Rīgā turpinās kursēt arī brīvdienās
1,"400 miljonu vērtu okupantu kuģi ""Boikij"" iznīcinājis 55 tūkstošus dolāru vērts drons"
0,87 gadu vecumā miris CNN dibinātājs Tērners
1,9. maijs Latvijā – VP 98 administratīvo pārkāpumu lietas un četri aizturētie
1,9. maijs: pirmo reizi vēsturē ārvalstu žurnālistiem atsaukta dalība Maskavas parādē
0,AM valsts sekretāra amatā ieceļ Airi Rikveili
0,AM valsts sekretāra pienākumus plāno uzticēt Siliņas padomniekam Rikveilim
0,AM valsts sekretārs Puriņš atliks amata atstāšanu līdz vadības maiņai
0,"AS ""pie šīs valdības un premjeres"" neatbalstīs Melni aizsardzības ministra amatā, pauž Kučinskis"
0,AS ar NA un ZZS pirmdien apspriedīs topošās valdības koalīcijas veidošanas iespējas
0,"AS, NA un ZZS mazākuma valdība ar LPV atbalstu izdevīga ""Jaunajai Vienotībai"""
0,AST būtiski nodrošināt avārijas rezerves infrastruktūras bojājumu novēršanai
0,"AST nav pazīmju, ka elektrības traucējumi radušies trešo pušu ietekmē (plkst.13.05)"
0,ASV Kongress apstiprina 70 miljardus dolāru Trampa imigrācijas politikas īstenošanai
1,"ASV Pārstāvju palāta aicina izbeigt Trampa ""nepopulāro un nelikumīgo"" karu Irānā"
1,ASV amatpersona: Miers Ukrainā var palielināt Krievijas draudus Baltijas valstīm
0,"ASV apsver paplašināt kodollietussargu pār Eiropu, ziņo FT"
1,ASV apsūdz Irākas kaujinieku komandieri teroraktu plānošanā pret ebrejiem
1,ASV apsūdz Raulu Kastro slepkavībās
0,ASV aptur kuģu eskortēšanu Hormuzā
1,"ASV armija apšauda tankkuģus, Irāna – ASV militāros objektus (16.10)"
1,"ASV atsauks trešdaļu no Eiropai krīzes gadījumam paredzēto iznīcinātāju, ziņo laikraksts"
1,ASV atteikušas vīzu Krievijas ārlietu ministra vietniekam
1,ASV atzinīgi vērtē sarunas starp Izraēlas un Libānas bruņoto spēku pārstāvjiem
1,"ASV beigušas triecienus Irānai pēc helikoptera ""Apache"" notriekšanas"
0,ASV izlūkdienesta vadītāja Gabarda atkāpjas no amata
0,ASV izvedīs 5000 karavīru no Vācijas (plkst. 15.06)
0,ASV karakuģi ierodas Persijas līcī kuģu eskorta misijā
0,"ASV lidsabiedrība ""Spirit Airlines"" atceļ visus lidojumus, sāk darbības pārtraukšanu"
1,"ASV militārā lidmašīna apšaudījusi kuģi, kas mēģināja pārraut Irānas ostu blokādi"
0,ASV nemeklē cīņu par Hormuza šaurumu
1,"ASV pamet Vāciju, Vācija audzē militāros muskuļus – vai tas ir labi NATO? ""Komandcentrā"" pulksten 16"
1,ASV pārsteidz Poliju: kas zināms par ASV spēku samazināšanu Eiropā?
1,"ASV raķešu krājumi ir būtiski sarukuši, apgalvo senators"
1,ASV tiesa atzīst Trampa 10% pagaidu tarifus par pretlikumīgiem; viņš draud paaugstināt tarifus ES
0,"ASV un Irāna panākušas progresu sarunās par pamiera pagarināšanu, apgalvo Venss"
0,ASV un Irāna tuvojas memorandam par kara izbeigšanu
0,ASV un Irāna vienojušās par tūlītēju karadarbības izbeigšanu
0,ASV un Izraēla plānoja bijušā prezidenta Ahmadinedžada nākšanu pie varas Irānā
1,"ASV un Nigērijas operācijā nogalināts augsta ranga ""Islāma valsts"" līderis"
0,ASV uzbrūk radaru un dronu kontroles punktiem Irānā
0,"ASV varētu samazināt savu karavīru skaitu Vācijā, apsver Tramps"
1,ASV veikušas jaunus triecienus Irānā; Tramps piedraudējis Omānai
0,ASV vēlreiz atvieglo Krievijas naftai noteiktās sankcijas
0,ASV ziņojums: Krievija zaudē spējas karam ar NATO
0,ASV-Irānas sarunām vajadzīgs vairāk laika
1,AT senatoram samazina algu par alkohola lietošanas dēļ nepildītiem pienākumiem
1,"Abu Meri: Jāizvērtē, kuras inovācijas ieviest veselības aprūpē"
0,Administratīvā tiesa atstāj spēkā Medņa ārsta sertifikātu anulēšanu
0,AfD politiķi dosies uz forumu Krievijā
1,Aicina ziedot Denali traģēdijā cietušā alpīnista Bilzēna ārstēšanai
0,"Aivis Ceriņš pievienosies Andra Kulberga vadītajai biedrībai ""Latvijas restarts"""
0,Aizkraukles novadā sestdien no Daugavas izcelts bojāgājušais
1,Aizliegumi veicina nelegālo aromatizēto e-cigarešu apriti jauniešu vidū
2,"Aizraujošs piedzīvojums! Laimē lidojumu ar ""Cessna 172"""
0,"Aizsardzības ministrs: Valsts aizsardzības dienesta modelis strādā, bet to var uzlabot"
1,Aiztur 11 nelikumīgi robežu šķērsojušu personu pārvadātāju
0,Aizturēti trīs nelegālo migrantu pārvadātāji
1,Aizturēts zemkopības ministrs Krauze un valsts galvenais ierēdnis (plkst. 11.15)
0,Aizvadīta Nacionālās drošības padomes sēde
0,Aizvadīta svinīgā ziedu nolikšanas ceremonija pie Brīvības pieminekļa
0,Aizvadītas vērienīgas pretterorisma mācības
1,Albānijā tūkstošiem cilvēku protestē pret ar Trampa znotu saistītu kūrorta projektu
0,Alpīnistu glābšanas operācija Aļaskā tuvojas noslēgumam
0,Amatpersonas Brāļu kapos godina Otrā pasaules karā kritušo piemiņu
1,"Ameriks tiesā apgalvo, ka ""pat tuvu nav bijis"" kukuļa pieprasīšanai saistībā ar pasažieru pārvadājumiem"
0,Anda Čakša kļūst par Sociālo un darba lietu komisijas priekšsēdētāja biedri
0,Apdraudējums Latvijas gaisa telpai pierobežas novados ir beidzies (plkst. 03.30)
0,"Apdraudējums Latvijas gaisa telpā Ludzas, Rēzeknes un Krāslavas novados noslēdzies"
0,Apdraudējums Latvijas gaisa telpā ir beidzies; drona liktenis nezināms (plkst. 19.23)
0,Apdrošinātāji meklē risinājumus militāro dronu nodarītā kaitējuma atlīdzināšanai fiziskām personām
0,Apgabaltiesai atkārtoti būs jāskata lieta par pumas iegādi un turēšanu nebrīvē
0,Apjomīgā PVN izkrāpšanas shēmā apsūdzēto Kazanovski turpinās tiesāt jūnija vidū
0,"Aprit 85 gadi, kopš 14. jūnija deportācijām: visā Latvijā piemin upurus"
1,Apsūdz par vīrieša nogalināšanu ar 106 naža dūrieniem Daugavpils parkā
1,Apsūdzēto aizstāvji pārsūdzējuši spriedumu krimināllietā par mātes un bērna nāvi mājdzemdībās
0,Apvienotajos Arābu Emirātos dronu uzbrukums pie AES izraisījis ugunsgrēku
0,Apšaudē pie Baltā nama cietis garāmgājējs; vainīgais nošauts
0,Apšaudēs Izraēlā nogalināts viens cilvēks un pieci ievainoti
0,"Ar ""Manabalss"" palīdzību panāktas 118 izmaiņas Latvijas likumos"
1,Ar arbaletu cietumā mēģina nogādāt aizliegtas vielas un priekšmetus
0,Ar līksmu gājienu Siguldas svētki atklāj vasaras sezonu
1,Ar politiskiem lēmumiem ir veicināta kontrabanda
1,"Armijnieki pārliecinājuši Putinu, ka Doneckas apgabalu ieņems līdz lapkritim, ziņo FT"
0,"Armēnijas parlamenta vēlēšanās vadībā Pašinjana partija, liecina aptaujas"
0,Armēnijas vēlēšanās Pašinjana partija provizoriski guvusi pusi balsu
0,Arī Latvijas luterāņu baznīca plāno pārbaudīt tās bijušā mācītāja Eimaņa iespējamos nodarījumus
0,Arī Ratnieks atsakās no Saeimas deputāta mandāta; nākamais pretendents – Ķipurs
1,"Arī Somijas un Igaunijas gaisa telpā, iespējams, ielidojis drons (plkst. 11.26)"
0,Arī apgabaltiesa noraida Ozoliņa prasību pret Puči
0,Arī ceturtdien pūtīs brāzmains vējš
0,"Arī kokmateriālu uzņēmumā ""Pata"" viesojušies KNAB pārstāvji"
0,Arī otrdien Latvijā brīžiem gaidāms lietus
0,Arī pirmdiena būs lietaina
1,Atbilde okupantu KAB: ukraiņi radījuši paši savu vadāmo aviobumbu
0,"Atbildības jomas sadalītas koleģiāli, bet ministru vārdus nosauks rīt, saka Kulbergs"
1,"Atceļ apdraudējumu visos piecos pierobežas novados; Latvijas gaisa telpā ""līkumu izmetis"" drons (plkst. 7.54)"
0,Atklās izstādi par Krievijas hibrīdkaru pret Latviju
0,"Atliek jautājumu par ""Rīgas satiksmes"" un ""Pasažieru vilciena"" vienotās biļetes pilotprojekta pagarināšanu"
0,Atradušies Ventspilī pazudušie bērni
0,"Atrasta viena drona nokrišanas vieta, saka NBS pulkvedis"
0,"Atrastas Rogovkā notriektā drona detaļas, atklāj NBS"
0,Atrasti Rēzeknes novadā notriektā drona fragmenti
1,Atrasti konteineri ar baltu vielu – Čehijā aizturēts krievu garīdznieks
0,Atrasts Siguldā pazudušais zēns (plkst. 22.42)
0,Atrasts un aizturēts Liepājā sestdien meklētais vīrietis
1,Atvaļinātais ģenerālis Bens Hodžess: Krievija jau tagad karo ar mums
0,"Atvest pasauli uz Rīgu – ""savienojošais elements"" Jurijs Spiridonovs"
1,Atvērs 12 gadus slēgto Turcijas-Sīrijas robežpunktu
0,"Augsts un vēl augstāks. Pārbaudi, ko tu zini par Rīgas debesskrāpjiem"
0,"Augstskolas pašas noteiks studiju vietu skaitu, ņemot vērā valsts speciālistu pieprasījumu"
1,Augustā tiesa skatīs krimināllietu pret Oskaru Zeizu par iespējamo dzimumnoziegumu
0,Augustā tiks svinēta Rīgas 825. dzimšanas diena
1,Augšdaugavas novads lūdz atļaut nomedīt divus vilkus
1,Augšdaugavas novadā aiztur Francijas pilsoni par 14 nelikumīgu robežšķērsotāju pārvadāšanu
1,Augšdaugavas novadā robežsargi atraduši balonu ar kontrabandas cigaretēm
0,Austrija aizdomās par spiegošanu izraida trīs Krievijas vēstniecības darbiniekus
0,Austrijas policija reģistrējusi 500 kiberuzbrukumus Eirovīzijai
1,Austrijā paraplāniste izdzīvojusi pēc sadursmes ar lidmašīnu
1,"Austrumiem sūtām signālu par viegli provocējamu valsti, saka Sārts"
0,Austrumu pierobežas attīstībā un drošībā ieguldīti vairāk nekā 351 miljons eiro
0,Austrumu pierobežā lidos mazas lidmašīnas – vakcinēs meža dzīvniekus
1,Austrālijā konfiscē vairāk nekā 100 000 eksotisku prusaku
1,Auto saiets pie tirdzniecības centra piesaista policijas uzmanību; sākts 21 administratīvais process
1,"Autoavārijā nāvējoši notriekta vīrieša dēls saņems 10 000 eiro kompensāciju, lemj tiesa"
1,"Autobusa katastrofā Turcijā astoņi bojāgājušie, viņu vidū arī mazulis"
1,"Autostāvvietas Rīgā kļūs dārgākas, bet īslaicīga auto novietošana varētu būt bez maksas"
0,Avārijas dēļ uz Tallinas šosejas satiksme notiek pa vienu joslu
1,Aļaskā bojāgājušie alpīnisti bija nokrituši aptuveni 300 metrus pa stāvu nogāzi
1,BMW Rīgā iebrauc sabiedriskā transporta pieturā un notriec trīs cilvēkus (plkst.15.25)
0,BVKB aizliedz Rīgas Centrāltirgus Gaļas paviljona ekspluatāciju
1,Baldones pagastā ugunsgrēks plosījis dzīvojamo māju; notikuma vietā strādājuši vairāk nekā desmit ugunsdzēsēji
1,Balss robotu dresētājs. Edgars Kalns no Sanfrancisko mākslīgo intelektu pazīst jau 20 gadus
0,"Baltijas studentu dziesmu un deju svētku ""Gaudeaumus"" rīkošanai trūkst 450 000 eiro"
1,"Baltijas valstis šā brīža ģeopolitiskajos apstākļos nav konkurentes, uzsver Kulbergs"
0,"Baltijas valstu ietekme starptautiskajā politikā ir ievērojama, bet aizvien virmo stereotipi, pauž EP deputāte"
0,Baltijas valstu prezidenti mudina pāriet no gaisa telpas patrulēšanas misijas uz gaisa aizsardzību
0,"Baltijā un citās Krievijas robežvalstīs jāizveido pirmā pretdronu vienība, spriež Kulbergs"
1,Baltkrievija brīdināja Latviju un Lietuvu par iespējamu dronu tuvošanos
1,Balvu un Ludzas novados atcelts iespējamais apdraudējums gaisa telpā
0,"Balvu, Ludzas, Rēzeknes, Krāslavas novadā gaisa telpas apdraudējums beidzies (plkst.7.34)"
0,"Bankrotējušās bankas ""Snoras"" akcionārs Antonovs nogādāts Lietuvā"
0,Bankā Vācijā sagrābti ķīlnieki
0,Bebrenes pagastā vējš katoļu baznīcai norāvis daļu jumta
1,Beidzies pamiers – Krievijas droni uzbrūk Kijivai
2,Beigas zaļmaldināšanai: rudenī uzņēmumiem būs stingrāki noteikumi
1,Bergholcs izbrāķē Rīgas zemo emisiju zonas ieviešanas ieceres
1,Bezpilota spēki gada laikā Krievijai nodarījuši 40 miljardu dolāru zaudējumus
0,Bezvadu implants sirdī – Stradiņa slimnīcā divi pacienti tiek pie jaunākās paaudzes sirds stimulācijas sistēmām
0,Bezvēsts prombūtnē bijusī 2011. gadā dzimusī meitene atrasta sveika un vesela
0,"Biedrība ""Tiesiskums.lv"" par OIK cilvēkus maldinājusi, secinājis PTAC; organizācija nepiekrīt"
1,Biedrība satraukta par Klimata un enerģētikas ministrijas nākotni
0,Biedrība uzstādīs kapu plāksnes neidentificētiem bojāgājušiem robežšķērsotājiem
0,Biedrības varēs brīvāk ziedot Ukrainas aizsardzības vajadzībām
0,Biežie šūnapraides brīdinājumi Rēzeknē: vairākas skolas mācību gadu noslēgs attālināti
0,Bijusī Ropažu novada domes priekšsēdētāja Grūbe kļuvusi par Rīgas mēra padomnieci
1,"Bijusī premjere nepiekrīt, ka viņas valdība šķērdējusi tālāku gadu līdzekļus"
1,Bijušajam FIB vadītājam izvirza kriminālapsūdzību par smiltīs izliktu skaitļu kombināciju 8647. Kā to interpretēt?
0,"Bijušo ""Ogres namsaimnieka"" vadītāju notiesā par krāpšanu lielā apmērā"
1,Bijušo Jēkabpils mēru Salceviču notiesā par basketbola kluba gada pārskatu viltošanu
0,Bijušā prāvesta Damberga lietu tiesa sāks skatīt nākamā gada aprīlī
0,Biļešu cenu kāpums reģionālajos pasažieru pārvadājumos līdz rudenim nav gaidāms
0,"Bolderājā otrdien nebūs karstā ūdens, brīdina ""Rīgas siltums"""
1,Brazīlijā sieviete iet bojā lēcienā no tilta bez drošības auklas; aizturēti trīs vīrieši
1,Brigāžu rinda pie slimnīcas parāda nepietiekamu sistēmas gatavību krīzēm
0,Brisele tuvāk mājām: Eiropas mediji sāk jaunu sadarbību lensEU
1,Britu izlūkdienesta vadītāja atklāj jaunu aplēsi par Krievijas dzīvā spēka zaudējumiem Ukrainā
0,Brīdina par spēcīgu pērkona negaisu tuvākajās stundās Latvijas rietumu un centrālajos rajonos
0,Brīdina par spēcīgu pērkona negaisu un krusu visā Latvijā
0,Brīdina par šonakt iespējamu paaugstinātu trokšņa līmeni Imantas apkaimē
0,"Brīvdabas muzejā būs vērienīgais Gadatirgus; ""Rīgas satiksme"" sola papildreisus"
1,Brīvdienās no ūdenstilpēm izcelti trīs bojāgājušie
1,Brīvprātīgi koncentrācijas nometnē. Kā poļu virsnieks atklāja Aušvicas šausmas
0,Bulgārija vēl tikai mēnesi ļaus Sofijā bāzēties ASV kara lidmašīnām
1,Bulgārijā lāča uzbrukumā dzīvību zaudējis vīrietis
0,Bunkus slepkavības krimināllietu pirmajai instancei skatīšanai nenodos; noraida prokuroru Kuzmu (precizēta)
0,Bāriņtiesu darbinieki apšauba tiesībsardzes rosināto reformu
0,"Bāriņtiesu darbinieki apšauba, vai rosinātā reforma mazinās slodzi un speciālistu trūkumu"
1,Bēg un ietriecas kokā – robežsargi aiztur vairākus nelegālo imigrantu pārvadātājus
1,"Bēgot no policijas, Jēkabpilī vīrietis ar auto ietriecies autobusā"
1,"Bēgot no policijas, motociklists iedzīvojies 6700 eiro sodos"
0,Bērna nāve Daugavpils slimnīcā: ministrija pārsūdz spriedumu par pienākumu izmaksāt kompensāciju
0,Bērnu slimnīcā ar inovatīvu pieeju bērniem mazina atkārtotu dūrienu skaitu
0,Bērnu slimnīcā ar inovatīvu pieeju bērniem mazina atkārtotu dūrienu un sāpīgu manipulāciju skaitu
2,Bīstami atkritumi mājās: ko darīt ar neizlietotiem medikamentiem
2,"Būs vai nebūs? Jau gatavo būvlaukumu, bet strīds par Liepājas peldu iestādes likteni turpinās"
0,Būt stikla tīrītājam milzīgā troksnī. Laura par savu pirmo mācību gadu skolotājas lomā
1,"Būt vai nebūt koalīcijā – ""Progresīvie"" paziņo savu lēmumu"
1,"Būvgružu ugunsgrēks Rumbulā lokalizēts, bet dzēšana turpinās (plkst. 11.07)"
0,Būvniecības uzraugi prasa pārtraukt Centrāltirgus Gaļas paviljona ekspluatāciju
1,CSDD atkārtoti brīdina par krāpnieciskiem e-pastiem un SMS par it kā piemērotu sodu ceļu satiksmē
0,"Centrāltirgus Gaļas paviljona tehniskais stāvoklis jau ilgu laiku ir bijis ""Rīgas namu"" redzeslokā"
0,Centrāltirgū pirmās gailenes; aktīvi andelē zemenes un ķiršus
0,Ceturtajā maijā gaidāms īslaicīgs lietus; gaiss iesils līdz 26 grādiem
0,Ceturtdien ceļu satiksmes negadījumos Latvijā cietuši septiņi cilvēki
0,Ceturtdien daudzviet stipri līs
0,Ceturtdien gaidāms negaiss; vietām iespējama krusa
0,"Ceturtdien gaiss iesils līdz +25 grādiem, debesis pakāpeniski apmāksies"
0,Ceturtdien iespējams pērkona negaiss
